ID,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
tt10217620,Aavartan,2021,116 min,-,-,Musical            ,hindi
tt2033947,Aazaan,2011,125 min,4.3,346,"Action, Musical, Thriller            ",hindi
tt2353775,Ab Hoga Dharna Unlimited,2012,78 min,4,6,Comedy            ,hindi
tt0402014,Ab Tak Chhappan,2004,129 min,7.8,"8,268","Action, Crime, Drama            ",hindi
tt2202086,Ab Tak Chhappan 2,2015,106 min,5.8,"1,324","Action, Crime, Thriller            ",hindi
tt0397882,Ab Tumhare Hawale Watan Saathiyo,2004,193 min,4.5,"1,464","Action, Drama, War            ",hindi
tt1202344,Ab... Bas!,2004,137 min,3.4,74,"Romance, Thriller            ",hindi
tt2321163,ABCD (Any Body Can Dance),2013,160 min,6.3,"6,352","Drama, Music            ",hindi
tt1570417,Accident on Hill Road,2010,105 min,4,283,"Crime, Drama, Thriller            ",hindi
tt1201557,Acid Factory,2009,108 min,5,670,"Action, Crime, Mystery            ",hindi
tt0403935,Action Jackson,I 2014,144 min,3.3,"3,391","Action, Crime, Thriller            ",hindi
tt1396208,Action Replayy,2010,129 min,4.2,"5,720","Comedy, Romance, Sci-Fi            ",hindi
tt1633159,Ada... A Way of Life,2010,120 min,3.6,49,"Action, Crime, Drama            ",hindi
tt3807598,Adamkhor Daayan,2001,98 min,-,-,Horror            ,hindi
tt11292062,Adhiktam,2020,45 min,-,-,"Action, Comedy            ",hindi
tt1620684,Adhura Sapna,2007,88 min,4.7,11,Drama            ,hindi
-,Adiala (the film),2021,46 min,-,-,Thriller            ,hindi
tt4808878,Adibhumi: Home Land,2015,121 min,-,-,Drama            ,hindi
tt4524050,Adrishya,2015,107 min,3.7,7,Thriller            ,hindi
tt7476874,Adrishya,2017,106 min,3.3,100,"Drama, Family, Horror            ",hindi
tt10800858,Adventure Kids Hindi Film,2019,120 min,6.6,12,Adventure            ,hindi
tt4559006,Ae Dil Hai Mushkil,2016,158 min,5.8,"21,355","Drama, Music, Musical            ",hindi
tt0377340,Aetbaar,2004,152 min,4.6,"1,005","Action, Drama, Musical            ",hindi
tt1395025,Agent Vinod,2012,157 min,5.2,"7,158","Action, Adventure, Thriller            ",hindi
tt1849718,Agneepath,2012,174 min,6.9,"22,602","Action, Crime, Drama            ",hindi
tt2008444,Agniputra,2000,140 min,4.7,20,Action            ,hindi
tt0326722,Agnivarsha: The Fire and the Rain,2002,126 min,4.6,359,"Drama, Fantasy, Romance            ",hindi
